script,relative_path,purpose,software,version,random_seed,sha256
00_phase0_inventory.ps1,scripts/01_data_download/00_phase0_inventory.ps1,Inventory the locked project and calculate pre-analysis file metadata.,PowerShell,7.x or Windows PowerShell 5.1,Not applicable (deterministic),e9fa3820a31acf9f775a980a81ac80c1b713729980842216fb5bbaac738584f3
01_discover_inputs.R,scripts/01_data_download/01_discover_inputs.R,Discover and summarize locked expression and phenotype inputs without modifying them.,R,4.5.2,Not applicable (deterministic),812a6d109524549641d15367ae81cf46e9f58520678d5059aaac969f5aff763e
01_download_geo_data.R,scripts/01_data_download/01_download_geo_data.R,Download public GEO inputs into local untracked staging.,R,4.5.2,Not applicable,4e3f97511f3269aa75b79933715af17e9285e9d83333a08986b7cf0ca4038ac0
13_verify_raw_hashes.ps1,scripts/01_data_download/13_verify_raw_hashes.ps1,Verify final raw-file SHA-256 values against the locked baseline.,PowerShell,7.x or Windows PowerShell 5.1,Not applicable (deterministic),c05b7dfeb24238d471d410ac1a7fafcdd6019e120db52567b8b39bb3afc948ad
04_preprocessing_audit.R,scripts/02_preprocessing/04_preprocessing_audit.R,"Audit dataset-specific transformations, missingness, redundant normalization, and ssGSEA sensitivity.",R,4.5.2,Not applicable (deterministic),afe314e8e34ccc4072d842b04fa7adc2d55c5654c3c06ebbe32a39d3a641e814
05_probe_mapping_sensitivity.R,scripts/03_probe_mapping/05_probe_mapping_sensitivity.R,Compare legacy and strict unambiguous probe-to-gene mappings.,R,4.5.2,Not applicable (deterministic),c68fc8a2ee155691f97ea9ad48fd4867c107f338757b2b9dbf16f0ed10917083
04_score_fixed_modules_ssgsea.R,scripts/04_module_scoring/04_score_fixed_modules_ssgsea.R,Score the fixed modules with the locked GSVA/ssGSEA method.,R,4.5.2,Not applicable,c02e2a1d1db000c7117dbc36328458a8b65142c1af7da5b2cbcb6850ac3a7abb
02_donor_models.R,scripts/05_donor_models/02_donor_models.R,Recover verified GSE102556 donors and compare donor-aware and naive models for GSE102556 and GSE48350.,R,4.5.2,Not applicable (deterministic),b66877c5aaaee911c93b0475ce4ed9604fe9764d156ddb0e280d4c6cda6d2b14
07b_matched_random_modules_AD_batched.R,scripts/06_random_controls/07b_matched_random_modules_AD_batched.R,Run the final batched AD matched-random-module negative control.,R,4.5.2,20260802; B=2000 per module,ca3d8728b3295a22a3b8d0bbbdabdd92f65e1ed683b5a1bba4498d9d8e11b56b
09_matched_random_modules_MDD.R,scripts/06_random_controls/09_matched_random_modules_MDD.R,Run separate MDD blood and donor-aware brain matched-random-module controls.,R,4.5.2,20260802; B=2000 per module and tissue,40dcf43d23269f36fa34cb7a8476046b495a28bc010e54002e4bd4f7191d9579
06_recompute_primary_strict.R,scripts/07_meta_analysis/06_recompute_primary_strict.R,"Recompute locked strict-mapping dataset effects, donor-aware comparisons, CR2 sensitivity, REML, and Hartung-Knapp summaries.",R,4.5.2,Not applicable (deterministic),6bc04b96fcc5a874a4df709fc19a82d4d746ae5da106db60bb4eeecb41e09853
08_liver_module_preservation.R,scripts/08_module_preservation/08_liver_module_preservation.R,Run formal WGCNA module-preservation tests in two external liver datasets.,R,4.5.2,20260802; 500 permutations per external liver dataset,11afa5613ff86b5e57213afdf9a329eba8cfc6818463609ae055bc8e463ab514
08b_postprocess_liver_preservation.R,scripts/08_module_preservation/08b_postprocess_liver_preservation.R,Postprocess locked module-preservation objects without redefining modules.,R,4.5.2,Not applicable (postprocessing only),ccd3133b1a6beb8837ea165ad1a6f6cae9c5f427ebb2d94b9ceef0f974e521e9
10_hpa_liver_specificity.R,scripts/09_HPA_analysis/10_hpa_liver_specificity.R,Describe HPA liver-expression attributes of the 24 fixed modules.,R,4.5.2,Not applicable (deterministic),e8d5891aaade60a0480dd9c65ad7ee73296f4e4a9f8359552009387599f216fe
10_export_tiff_figures.py,scripts/10_figures_tables/10_export_tiff_figures.py,Export final PNG figures as submission-grade TIFF files.,Python + Pillow,3.12.13 / 12.2.0,Not applicable,9943eaa65aca882902403ea44de7142ef04f2bad08024bb8ee855a82fee79efe
11_integrate_evidence_and_figures.R,scripts/10_figures_tables/11_integrate_evidence_and_figures.R,"Integrate locked result tables, assign locked evidence tiers, and generate main and supplementary figures.",R,4.5.2,Not applicable (deterministic integration),1e9063bd3831479418c9b4954f4d0bb36fdde3c9b40b1827aef164f80fa58ad5
12_finalize_registry_and_metadata.R,scripts/10_figures_tables/12_finalize_registry_and_metadata.R,Finalize preprocessing registry and environment/code manifests.,R,4.5.2,Not applicable (deterministic),b30473e8f74a301cae85deaf7e734a06390b5102e4875ac4a2091079a747da10
14_generate_reports.R,scripts/10_figures_tables/14_generate_reports.R,Generate the locked methodological audit reports from final result tables.,R,4.5.2,Not applicable (deterministic),2d8abfcdf813542ce052f051f573c2e4f29e21badf59a558be076a017bbbaad6
16_final_consistency_audit.py,scripts/10_figures_tables/16_final_consistency_audit.py,Check numerical consistency across locked tables and manuscript-facing summaries.,Python,3.12.13,Not applicable (deterministic),78b8f86ccb0a11d91deeaf8d0dfa22b923e84d7d3e63f11ee1e500f0d4bc7d6d
17_update_figures_v10.R,scripts/10_figures_tables/17_update_figures_v10.R,Apply text-only refinements to Figures 1 and 6 from locked tables.,R,4.5.2,Not applicable (deterministic),ddd9ff06565e7a7e4843a300155d6f4efbc79c7eec534193232532c362236456
