"relative_path","baseline_sha256","final_sha256","baseline_size_bytes","final_size_bytes","hash_status","error"
"01_raw_data\cognitive_impairment_AD\GSE33000\expression_matrix.rds","2f5e32fe869b7fc0d0e9a7be0fac15b0d553948a1430dbaedd657c1c5bebd864","2f5e32fe869b7fc0d0e9a7be0fac15b0d553948a1430dbaedd657c1c5bebd864","163781216","163781216","unchanged",""
"01_raw_data\cognitive_impairment_AD\GSE33000\pheno_data.rds","18c2b66e8e4f0e10a62caf120d87a66f7dd44fb4ed62c540ba023a3e0e80efb2","18c2b66e8e4f0e10a62caf120d87a66f7dd44fb4ed62c540ba023a3e0e80efb2","25041","25041","unchanged",""
"01_raw_data\cognitive_impairment_AD\GSE48350\expression_matrix.rds","bcb5fee3dff1d33515aef497d121d03fa0351715a23b709753d0a4cbe8ee692b","bcb5fee3dff1d33515aef497d121d03fa0351715a23b709753d0a4cbe8ee692b","100180978","100180978","unchanged",""
"01_raw_data\cognitive_impairment_AD\GSE48350\pheno_data.rds","312f64767a72e50b7af01441f37630b6ca78befaf69fa1e53121f3f9fa858df2","312f64767a72e50b7af01441f37630b6ca78befaf69fa1e53121f3f9fa858df2","12970","12970","unchanged",""
"01_raw_data\cognitive_impairment_AD\GSE5281\expression_matrix.rds","5b7346aac7e25abef5b3667c8db4534d84f02f0f41adb585ce1bc9f32963bf6b","5b7346aac7e25abef5b3667c8db4534d84f02f0f41adb585ce1bc9f32963bf6b","47066246","47066246","unchanged",""
"01_raw_data\cognitive_impairment_AD\GSE5281\pheno_data.rds","f4d6fb2e3b13511963b8a6e21ea6caad27027bbf01b9497a990db0d90df47c41","f4d6fb2e3b13511963b8a6e21ea6caad27027bbf01b9497a990db0d90df47c41","9433","9433","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE33000\GSE33000_raw_data.txt","263ad6752528808c8f521bfef0f08acd757574d846559ff04b4e8cf06532c85d","263ad6752528808c8f521bfef0f08acd757574d846559ff04b4e8cf06532c85d","133878602","133878602","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE33000\GSE33000_raw_data.txt.gz","f738bc6bd86ead912f791a50738140f9bd4108ba1d6d0c62657624c8291257a5","f738bc6bd86ead912f791a50738140f9bd4108ba1d6d0c62657624c8291257a5","133858256","133858256","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW.tar","bf32bec0a4bb7d676eacafd65ed9a03cfe8d2fcbc869fc3e67be9849374e47a0","bf32bec0a4bb7d676eacafd65ed9a03cfe8d2fcbc869fc3e67be9849374e47a0","1296158720","1296158720","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176196_1105A-08_EC_48_Affy.CEL.gz","80598ffece470a447a9380f4b86e5495a0e24e79faa7de57266351677b1dd008","80598ffece470a447a9380f4b86e5495a0e24e79faa7de57266351677b1dd008","5401844","5401844","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176197_1105A-08_EC_15.CEL.gz","64c786c748c5e424befce6936a0c6df12d0383ba129f4c3f3942037bb9e0c65f","64c786c748c5e424befce6936a0c6df12d0383ba129f4c3f3942037bb9e0c65f","4980682","4980682","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176198_1205A-07_EC-09_AffyHyb.CEL.gz","8b3e0e98afd4264f44c17e75ac982ab2b6822a6f441e9049efbcf204837e6935","8b3e0e98afd4264f44c17e75ac982ab2b6822a6f441e9049efbcf204837e6935","5213650","5213650","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176199_1205A-07_EC-24_AffyHyb.CEL.gz","d35e24bb5892a22ecf667d835dce139c2e1a034915c5acae6f7b7048c0ec8afe","d35e24bb5892a22ecf667d835dce139c2e1a034915c5acae6f7b7048c0ec8afe","5234486","5234486","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176200_1205A-07-EC-36_AffyHyb.CEL.gz","f39afe30c879ce9f5b58171221355f5ae3f4a038e5caeea6c0ba2c955289f71d","f39afe30c879ce9f5b58171221355f5ae3f4a038e5caeea6c0ba2c955289f71d","4999730","4999730","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176201_1205A-07_EC-06_AffyHyb.CEL.gz","5c663026cd170ab1cfccbc8a7e459c8c7c717975059af09c616b386434fab40a","5c663026cd170ab1cfccbc8a7e459c8c7c717975059af09c616b386434fab40a","5062578","5062578","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176202_1105A-08_EC_75_Affy.CEL.gz","3dc2bc78b40b5058da84ea8518e9d64d794db78c63b7c9feba43931c1f73f8c8","3dc2bc78b40b5058da84ea8518e9d64d794db78c63b7c9feba43931c1f73f8c8","4917957","4917957","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176203_1105A-08_EC_11.CEL.gz","38fd4aa6ee85af30d298ebc7e7825ca21d6181cea0705f51ef2c029921971eb3","38fd4aa6ee85af30d298ebc7e7825ca21d6181cea0705f51ef2c029921971eb3","4879087","4879087","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176204_1205A-07-EC-69_AffyHyb.CEL.gz","fd770209d026817d09687532f5dbc437d3eebcb48120c2bd40f1412f40484462","fd770209d026817d09687532f5dbc437d3eebcb48120c2bd40f1412f40484462","4975086","4975086","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176205_1105A-08_EC_51.CEL.gz","9f653f73012d8327d5b9af9b852db729de3b0efbf404c585dd5ee30cf470955c","9f653f73012d8327d5b9af9b852db729de3b0efbf404c585dd5ee30cf470955c","5037446","5037446","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176206_1105A-08_EC_74.CEL.gz","4473fa080f085d39bc003f6208db2621ee6572bb9293af961d151725482268fd","4473fa080f085d39bc003f6208db2621ee6572bb9293af961d151725482268fd","4956324","4956324","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176207_1105A-08_EC_92_Affy.CEL.gz","4d5856691d86dcb7c19f1a5dcc860dfc3f8a9f62d3da7480f9f69e000d5ee29a","4d5856691d86dcb7c19f1a5dcc860dfc3f8a9f62d3da7480f9f69e000d5ee29a","4984145","4984145","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176208_1205A-07_EC-19_AffyHyb.CEL.gz","ad7f0eee80c9c889e164b00fd7822d9d51226061b1b7e4b978472f3b425a2c5b","ad7f0eee80c9c889e164b00fd7822d9d51226061b1b7e4b978472f3b425a2c5b","5188195","5188195","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176209_0606A-05_EC_05_AffyHyb.CEL.gz","e2361120e0da87fd172897df610c484db761674b2244737cbb8142f6345313fc","e2361120e0da87fd172897df610c484db761674b2244737cbb8142f6345313fc","5161560","5161560","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176210_0606A-05_EC_90_AffyHyb.CEL.gz","9f5023f525e139c16f40048dda466c494b1d6aae8bde15d330ef87511883a7fb","9f5023f525e139c16f40048dda466c494b1d6aae8bde15d330ef87511883a7fb","4915102","4915102","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176211_1105A-08_HC-20_Affy_2.CEL.gz","c2d560197e65ccc1595b5c304bbfc3f95839d3b7ad05ef003e6599b9cbfff532","c2d560197e65ccc1595b5c304bbfc3f95839d3b7ad05ef003e6599b9cbfff532","5329191","5329191","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176212_1105A-08_HC_37.CEL.gz","f7c61ba829343af780460d032aa18dd092cbadcb75ef1754dba8a3b6d2920696","f7c61ba829343af780460d032aa18dd092cbadcb75ef1754dba8a3b6d2920696","4968882","4968882","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176213_1205A-07_HC-48_AffyHyb.CEL.gz","d2f558462a6e800a9d98b1dd85db83adb8818a508330dfdf9a87bdff078befbb","d2f558462a6e800a9d98b1dd85db83adb8818a508330dfdf9a87bdff078befbb","5278259","5278259","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176214_1205A-07-HC-16_AffyHyb.CEL.gz","0c3779f3aabf6792ce6ea6578f8861bc234c9789e3b327213d1a3751a32b57b2","0c3779f3aabf6792ce6ea6578f8861bc234c9789e3b327213d1a3751a32b57b2","4840612","4840612","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176215_1105A-08_HC_15.CEL.gz","127c6c9f6f075af509d616572c020b1f17dd5cc7de55bcacf5338e6ca2f683ce","127c6c9f6f075af509d616572c020b1f17dd5cc7de55bcacf5338e6ca2f683ce","4975990","4975990","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176216_1105A-08_HC_24.CEL.gz","8eed7565de2d236543fd55bf43b4533b4c33acbeedbdc64f641eb0f4108a8ee1","8eed7565de2d236543fd55bf43b4533b4c33acbeedbdc64f641eb0f4108a8ee1","4929164","4929164","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176217_0606A-05_HC_23_AffyHyb.CEL.gz","e73e6a86442fbbd2f510c6e88c88756b46489e5443b8ccfeeccc98c38e819e4a","e73e6a86442fbbd2f510c6e88c88756b46489e5443b8ccfeeccc98c38e819e4a","4948133","4948133","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176218_0606A-05_HC_36_AffyHyb.CEL.gz","cf0033fa7156e92e638aa60e544f410f76b787ccee43a878956e4f699642be8e","cf0033fa7156e92e638aa60e544f410f76b787ccee43a878956e4f699642be8e","5013243","5013243","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176219_1105A-08_HC-75_Affy.CEL.gz","4de669acb14a15928952ed584a73332bed5fc246090fb2339c248a8b021c5445","4de669acb14a15928952ed584a73332bed5fc246090fb2339c248a8b021c5445","5213856","5213856","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176220_1105A-08_HC-11_Affy.CEL.gz","99200de4776142c9da1a9800d9a72e32ffed60facb5404e338da25a8867e7f9f","99200de4776142c9da1a9800d9a72e32ffed60facb5404e338da25a8867e7f9f","5081046","5081046","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176221_1105A-08_HC_33_Affy.CEL.gz","de15219c7e19fd2737c9fa2911dcdd24843f369dc3bff943c2b43717090c0f5e","de15219c7e19fd2737c9fa2911dcdd24843f369dc3bff943c2b43717090c0f5e","5080744","5080744","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176222_1105A-08_HC-69_Affy.CEL.gz","1ec7850ef26b5515dfb1bdf2de1468ebe0b20161edba91a79c5c422a1779146e","1ec7850ef26b5515dfb1bdf2de1468ebe0b20161edba91a79c5c422a1779146e","5322401","5322401","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176223_0606A-05_HC_07_AffyHyb.CEL.gz","051595ba2b8cf2a92c2ce93d68c9533d4c6c46142d523ec66c3f5ae25179af96","051595ba2b8cf2a92c2ce93d68c9533d4c6c46142d523ec66c3f5ae25179af96","4792804","4792804","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176224_1205A-07_HC-43_AffyHyb.CEL.gz","674a30e8bae27002ca7346613940726cbc14d16bd35488f820a9a783c3a68474","674a30e8bae27002ca7346613940726cbc14d16bd35488f820a9a783c3a68474","5100201","5100201","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176225_1105A-08_HC-51_Affy.CEL.gz","90312afa810109b53d68ede7fdd1e7854161da1d0611beae2b200cd086a232f3","90312afa810109b53d68ede7fdd1e7854161da1d0611beae2b200cd086a232f3","5204777","5204777","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176226_1105A-08_HC_92_Affy.CEL.gz","5fa038efbd38a2b7a12424cefb16af0f12cf44badf625f38b7b5e81a5ed9d06a","5fa038efbd38a2b7a12424cefb16af0f12cf44badf625f38b7b5e81a5ed9d06a","5150821","5150821","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176227_1205A-07_HC-19_AffyHyb.CEL.gz","358fd4beaee8438bb41d08d65d008a41091975cec0578618c39d11dbc88b417d","358fd4beaee8438bb41d08d65d008a41091975cec0578618c39d11dbc88b417d","5279100","5279100","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176228_0606A-05_HC_05_AffyHyb.CEL.gz","e12c67293d67f173d513b78067f7c5e022f87e4e786728d7311fc11caae00bb1","e12c67293d67f173d513b78067f7c5e022f87e4e786728d7311fc11caae00bb1","4966108","4966108","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176229_1205A-07-HC-90_AffyHyb.CEL.gz","d94a63c95c2175add5686134301cc56bc6bdc1440a4a3322ad279c94a1aed2c8","d94a63c95c2175add5686134301cc56bc6bdc1440a4a3322ad279c94a1aed2c8","5058641","5058641","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176230_0606A-05_PCG_20_AffyHyb.CEL.gz","d54603b7f01a0da51e026e5969f7746c8d014a684cded4a49ce72b6c9a9510fd","d54603b7f01a0da51e026e5969f7746c8d014a684cded4a49ce72b6c9a9510fd","5091553","5091553","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176231_1205A-07_PCG-37_AffyHyb.CEL.gz","d7ee4b5eb215b5c819f1bb7273ee1b0225a44d3605b8499a1e37a14962089271","d7ee4b5eb215b5c819f1bb7273ee1b0225a44d3605b8499a1e37a14962089271","5004203","5004203","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176232_1105A-08_PCG_48_Affy.CEL.gz","d9d91bf83f087c44e41bd189d5d994ca7f6ed66156f35b202e82193c8c7317d8","d9d91bf83f087c44e41bd189d5d994ca7f6ed66156f35b202e82193c8c7317d8","5112848","5112848","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176233_1105A-08_PCG_15_Affy.CEL.gz","c753ca10708a3e6946fb38000fc7472dcc57b3912ecbee8f780dc037a88e8a8c","c753ca10708a3e6946fb38000fc7472dcc57b3912ecbee8f780dc037a88e8a8c","5148048","5148048","unchanged",""
"01_raw_data\cognitive_impairment_AD\supplementary\GSE48350\GSE48350_RAW\GSM1176234_1105A-08_PCG_13_Affy.CEL.gz","5ad4b09c26d1c42b6b02d32d816220566451ec85fd5844c953c5d8456649a102","5ad4b09c26d1c42b6b02d32d816220566451ec85fd5844c953c5d8456649a102","5065513","5065513","unchanged",""
