Package,Version,Built,Role
AnnotationDbi,1.72.0,4.5.2,directly referenced by retained public scripts
Biobase,2.70.0,4.5.3,directly referenced by retained public scripts
BiocParallel,1.44.0,4.5.2,directly referenced by retained public scripts
clubSandwich,0.7.0,4.5.3,directly referenced by retained public scripts
digest,0.6.39,4.5.2,directly referenced by retained public scripts
edgeR,4.8.2,4.5.2,directly referenced by retained public scripts
GEOquery,2.78.0,4.5.2,directly referenced by retained public scripts
ggplot2,4.0.1,4.5.2,directly referenced by retained public scripts
GSVA,2.4.9,4.5.3,directly referenced by retained public scripts
hgu133plus2.db,3.13.0,4.5.2,directly referenced by retained public scripts
limma,3.66.0,4.5.2,directly referenced by retained public scripts
lme4,1.1-38,4.5.2,directly referenced by retained public scripts
lmerTest,3.1-3,4.5.2,directly referenced by retained public scripts
matrixStats,1.5.0,4.5.2,directly referenced by retained public scripts
metafor,5.0-1,4.5.3,directly referenced by retained public scripts
org.Hs.eg.db,3.22.0,4.5.2,directly referenced by retained public scripts
patchwork,1.3.2,4.5.2,directly referenced by retained public scripts
R.utils,2.13.0,4.5.2,recorded locked-environment dependency; not directly referenced by retained R scripts
ragg,1.5.0,4.5.2,directly referenced by retained public scripts
scales,1.4.0,4.5.2,directly referenced by retained public scripts
WGCNA,1.74,4.5.3,directly referenced by retained public scripts
yaml,2.3.12,4.5.2,repository configuration and metadata validation dependency; not directly referenced by retained R scripts
