"module","gene"
"hepatic_inflammatory_module","TNF"
"hepatic_inflammatory_module","NFKB1"
"hepatic_inflammatory_module","NFKB2"
"hepatic_inflammatory_module","RELA"
"hepatic_inflammatory_module","RELB"
"hepatic_inflammatory_module","NFKBIA"
"hepatic_inflammatory_module","NFKBIE"
"hepatic_inflammatory_module","IKBKG"
"hepatic_inflammatory_module","CHUK"
"hepatic_inflammatory_module","IKBKB"
"hepatic_inflammatory_module","MAP3K7"
"hepatic_inflammatory_module","TRAF2"
"hepatic_inflammatory_module","TRAF6"
"hepatic_inflammatory_module","RIPK1"
"hepatic_inflammatory_module","BCL3"
"hepatic_inflammatory_module","ICAM1"
"hepatic_inflammatory_module","VCAM1"
"hepatic_inflammatory_module","SELE"
"hepatic_inflammatory_module","CSF1"
"hepatic_inflammatory_module","CSF2"
"hepatic_inflammatory_module","TNFAIP3"
"hepatic_inflammatory_module","TNFRSF1A"
"hepatic_inflammatory_module","TNFRSF1B"
"hepatic_inflammatory_module","CCL2"
"hepatic_inflammatory_module","CCL5"
"hepatic_inflammatory_module","CXCL1"
"hepatic_inflammatory_module","CXCL2"
"hepatic_inflammatory_module","CXCL8"
"hepatic_inflammatory_module","CXCL10"
"hepatic_inflammatory_module","IL1A"
"hepatic_inflammatory_module","IL1B"
"hepatic_inflammatory_module","IL6"
"hepatic_inflammatory_module","IL7R"
"hepatic_inflammatory_module","PTGS2"
"hepatic_inflammatory_module","NOS2"
"hepatic_inflammatory_module","MMP3"
"hepatic_inflammatory_module","MMP9"
"hepatic_inflammatory_module","GZMB"
"hepatic_inflammatory_module","FAS"
"hepatic_inflammatory_module","FASLG"
"hepatic_inflammatory_module","BIRC2"
"hepatic_inflammatory_module","BIRC3"
"hepatic_inflammatory_module","XIAP"
"hepatic_inflammatory_module","GADD45B"
"hepatic_inflammatory_module","GADD45A"
"hepatic_inflammatory_module","EGR1"
"hepatic_inflammatory_module","ATF3"
"hepatic_inflammatory_module","JUN"
"hepatic_inflammatory_module","FOS"
"hepatic_inflammatory_module","FOSB"
"hepatic_inflammatory_module","IER3"
"hepatic_inflammatory_module","KLF6"
"hepatic_inflammatory_module","NR4A1"
"hepatic_inflammatory_module","NR4A2"
"hepatic_inflammatory_module","PLAU"
"hepatic_inflammatory_module","SERPINB2"
"hepatic_inflammatory_module","BCL2A1"
"hepatic_inflammatory_module","CCL20"
"hepatic_inflammatory_module","CXCL3"
"hepatic_inflammatory_module","EDN1"
"hepatic_inflammatory_module","IRF1"
"hepatic_inflammatory_module","PTX3"
"hepatic_inflammatory_module","STAT5A"
"hepatic_inflammatory_module","VEGFA"
"hepatic_inflammatory_module","IL6R"
"hepatic_inflammatory_module","IL6ST"
"hepatic_inflammatory_module","JAK1"
"hepatic_inflammatory_module","JAK2"
"hepatic_inflammatory_module","TYK2"
"hepatic_inflammatory_module","STAT1"
"hepatic_inflammatory_module","STAT3"
"hepatic_inflammatory_module","SOCS1"
"hepatic_inflammatory_module","SOCS3"
"hepatic_inflammatory_module","SAA1"
"hepatic_inflammatory_module","CRP"
"hepatic_inflammatory_module","FGB"
"hepatic_inflammatory_module","FGA"
"hepatic_inflammatory_module","SERPINA3"
"hepatic_inflammatory_module","HP"
"hepatic_inflammatory_module","LBP"
"hepatic_inflammatory_module","ORM1"
"hepatic_inflammatory_module","A2M"
"hepatic_inflammatory_module","C3"
"hepatic_inflammatory_module","IFIT3"
"hepatic_inflammatory_module","CD14"
"hepatic_inflammatory_module","CD163"
"hepatic_inflammatory_module","TLR1"
"hepatic_inflammatory_module","TLR2"
"hepatic_inflammatory_module","TLR4"
"hepatic_inflammatory_module","TLR5"
"hepatic_inflammatory_module","TLR7"
"hepatic_inflammatory_module","MYD88"
"hepatic_inflammatory_module","IRAK1"
"hepatic_inflammatory_module","IRAK4"
"hepatic_inflammatory_module","TICAM1"
"hepatic_inflammatory_module","NLRP3"
"hepatic_inflammatory_module","CASP1"
"hepatic_inflammatory_module","PYCARD"
"hepatic_inflammatory_module","IL18"
"hepatic_inflammatory_module","IL33"
"hepatic_inflammatory_module","IL10"
"hepatic_inflammatory_module","IL12A"
"hepatic_inflammatory_module","IL12B"
"hepatic_inflammatory_module","IFNG"
"hepatic_inflammatory_module","IFNB1"
"hepatic_inflammatory_module","CCL3"
"hepatic_inflammatory_module","CCL4"
"hepatic_inflammatory_module","CCL7"
"hepatic_inflammatory_module","CCL8"
"hepatic_inflammatory_module","CXCL9"
"hepatic_inflammatory_module","CXCL11"
"hepatic_inflammatory_module","HMOX1"
"hepatic_inflammatory_module","NFE2L2"
"hepatic_inflammatory_module","AREG"
"hepatic_inflammatory_module","BTC"
"hepatic_inflammatory_module","CSF3"
"hepatic_inflammatory_module","LIF"
"hepatic_inflammatory_module","OSM"
"hepatic_inflammatory_module","CX3CL1"
"hepatic_inflammatory_module","CCL17"
"hepatic_inflammatory_module","ABCA1"
"hepatic_inflammatory_module","ACKR3"
"hepatic_inflammatory_module","ATP2B1"
"hepatic_inflammatory_module","B4GALT1"
"hepatic_inflammatory_module","B4GALT5"
"hepatic_inflammatory_module","BCL6"
"hepatic_inflammatory_module","BHLHE40"
"hepatic_inflammatory_module","BMP2"
"hepatic_inflammatory_module","BTG1"
"hepatic_inflammatory_module","BTG2"
"hepatic_inflammatory_module","BTG3"
"hepatic_inflammatory_module","CCN1"
