"module","n_genes"
"hepatic_acute_phase_response_module",270
"hepatic_complement_coagulation_module",76
"hepatic_ECM_fibrosis_module",345
"hepatic_endothelial_vascular_activation_module",82
"hepatic_inflammatory_module",446
"hepatic_lipid_dysregulation_module",339
"hepatic_mitochondrial_dysfunction_module",252
"hepatic_secretome_hepatokine_module",97
"WGCNA_black",1012
"WGCNA_blue",3342
"WGCNA_brown",1832
"WGCNA_cyan",43
"WGCNA_green",1041
"WGCNA_greenyellow",68
"WGCNA_lightcyan",35
"WGCNA_magenta",151
"WGCNA_midnightblue",40
"WGCNA_pink",825
"WGCNA_purple",114
"WGCNA_red",1040
"WGCNA_salmon",45
"WGCNA_tan",48
"WGCNA_turquoise",5967
"WGCNA_yellow",1245
