"dataset","module","beta","SE","df","CI_low","CI_high","P","sample_n","donor_n","formula","mapping","BH_FDR"
"GSE48350","hepatic_inflammatory_module",0.122631410360638,0.185303784542882,84.000463019131,-0.245865457231953,0.49112827795323,0.509919910513168,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.719886932489178
"GSE48350","hepatic_complement_coagulation_module",-0.0154607742986253,0.181377765294497,82.8869280793124,-0.376221132678832,0.345299584081581,0.932275565611004,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.957468445693146
"GSE48350","hepatic_lipid_dysregulation_module",-0.34778414165745,0.198732195938848,85.0183837201139,-0.742915755594608,0.047347472279707,0.08372382115432,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.367011487275547
"GSE48350","hepatic_ECM_fibrosis_module",0.0925254444316413,0.176043828186959,78.5232169763136,-0.257914115272091,0.442965004135373,0.60065985415456,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.77133064313546
"GSE48350","hepatic_mitochondrial_dysfunction_module",-0.487757498961012,0.201187366044611,79.8141743028381,-0.888147427636757,-0.0873675702852677,0.0175940039391279,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.105564023634767
"GSE48350","hepatic_acute_phase_response_module",0.0322265411510222,0.182597611321713,83.8805538213121,-0.330896388760547,0.395349471062592,0.860334908171781,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.938547172551034
"GSE48350","hepatic_endothelial_vascular_activation_module",-0.0445849541061255,0.199326679402879,82.2395909764652,-0.441091921581298,0.351922013369047,0.823562726719654,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.938547172551034
"GSE48350","hepatic_secretome_hepatokine_module",0.11217285397541,0.163053978318104,79.8395225163167,-0.212324916861106,0.436670624811925,0.493478684461714,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.719886932489178
"GSE48350","WGCNA_turquoise",0.158370542389247,0.207513997997909,77.2147504653278,-0.254824278781445,0.571565363559939,0.447681503209886,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.716290405135817
"GSE48350","WGCNA_red",0.0892542895642865,0.174634319583917,83.3951085229357,-0.258062012954973,0.436570592083546,0.610636759148906,253,84,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","strict one-to-one official symbol; highest-IQR probe",0.77133064313546
