"module","donoraware_beta","donoraware_SE","donoraware_df","donoraware_CI_low","donoraware_CI_high","donoraware_P","sample_n","donor_n","random_intercept_variance","residual_variance","ICC","singular_fit","donoraware_formula","donoraware_BH_FDR"
"hepatic_inflammatory_module",-0.0750246974611715,0.203536805014183,41.9022926442991,-0.485806977244778,0.335757582322435,0.714277983722647,263,48,0.400717922622813,0.433000021994691,0.480639675815849,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"hepatic_complement_coagulation_module",0.0858054295057025,0.199635050151377,40.6728849990152,-0.317464229965787,0.489075088977192,0.669601448770388,263,48,0.353639457180336,0.586644452155206,0.376098594976742,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"hepatic_lipid_dysregulation_module",0.06900583875721,0.170671556354204,41.4674529437513,-0.275554401692112,0.413566079206532,0.688055674287824,263,48,0.23396575017965,0.560021362489541,0.294671974451971,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"hepatic_ECM_fibrosis_module",0.0420540708457804,0.149869918378239,40.8403922732396,-0.26065029604032,0.34475843773188,0.780430900555692,263,48,0.166746909753682,0.505216923993548,0.248148637440518,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"hepatic_mitochondrial_dysfunction_module",0.193668868632371,0.178365096078805,41.533395230508,-0.166406312457273,0.553744049722016,0.283829421153623,263,48,0.334666443008765,0.189271380048719,0.638752211199012,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"hepatic_acute_phase_response_module",0.13478675354657,0.200504542295227,41.1897680800971,-0.270083736177459,0.539657243270599,0.505185881228894,263,48,0.381921231790955,0.457222769443569,0.455131933528791,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"hepatic_endothelial_vascular_activation_module",0.159578307976418,0.197163991926043,41.0395291680424,-0.238590804528134,0.55774742048097,0.422971155079147,263,48,0.346305428753572,0.564905555295703,0.380049664474683,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"hepatic_secretome_hepatokine_module",0.0178647920504161,0.136773052284773,38.2418467306422,-0.258960284676972,0.294689868777804,0.896763529909734,263,48,0.0973963233389721,0.644714887128742,0.131242220795436,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_turquoise",-0.0588385146768424,0.139058756441598,39.5937605474625,-0.33997659819587,0.222299568842185,0.674497321582169,263,48,0.166814803688008,0.310171307150726,0.349726752828673,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_red",0.197651701561055,0.221765178963867,41.8397888903906,-0.249939324646721,0.645242727768831,0.377883577381393,263,48,0.513258870689752,0.314271002224496,0.620230021282795,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_brown",0.0320788107655498,0.146336131441649,42.3229175825721,-0.263172718056633,0.327330339587733,0.827537766544296,263,48,0.155832589434787,0.498582518760486,0.23812498746329,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_yellow",0.0864104454653701,0.108536957271159,41.3907916481028,-0.132721553828977,0.305542444759717,0.430494253367721,263,48,0.0770283512507936,0.321135385478736,0.193458982185307,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_blue",0.0998369752996301,0.115514893672472,41.3922367875045,-0.133382967994273,0.333056918593533,0.392416313139882,263,48,0.100997652432856,0.289731356296514,0.258485165361269,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_pink",-0.0258969435673031,0.122431804345345,42.1632702680475,-0.272945985436418,0.221152098301811,0.833499573389352,263,48,0.0568085799572574,0.631909522939555,0.0824845168412377,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_black",0.027484622641343,0.131728073628006,39.9576116106879,-0.238756543204998,0.293725788487684,0.835784068099949,263,48,0.103733693341476,0.525565498294113,0.16484002318812,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_green",0.197269944143784,0.186602780737047,41.3817758289061,-0.179476459799571,0.57401634808714,0.296568828111882,263,48,0.354121799656164,0.271815831362129,0.565746141640452,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_purple",-0.029801487243875,0.103564356806122,42.1876532974789,-0.238775282144903,0.179172307657153,0.774940787809983,263,48,0.0648649345930782,0.320822211862235,0.16818018227785,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_magenta",-0.0787035154724238,0.124649666656757,44.5560029162681,-0.329829900146302,0.172422869201454,0.531006595707267,263,48,0.0792927728194634,0.544172273318801,0.127180783125858,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_greenyellow",-0.0405818508464105,0.0927118191407873,41.6589720970297,-0.227727263988754,0.146563562295933,0.663850153878427,263,48,0.0594966023165785,0.216564485329473,0.215519698280916,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_salmon",-0.319749171755829,0.113674984630648,251.999999993074,-0.543623228870123,-0.0958751146415339,0.00529747672944694,263,48,0,0.812632986545695,0,TRUE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.127139441506727
"WGCNA_cyan",-0.0515037783123269,0.124918366038195,43.7509938634655,-0.303300679083206,0.200293122458553,0.682133249612035,263,48,0.0234417616947647,0.852724455668485,0.0267549252986617,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_tan",0.0155613396825204,0.138544868379548,44.6068317877966,-0.263550249272284,0.294672928637325,0.911073736970306,263,48,0.0561123213305931,0.89981349864463,0.0586994515244368,FALSE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_lightcyan",-0.0875527921510002,0.119348338426409,252.000000000634,-0.32260007911727,0.147494494815269,0.463880352451032,263,48,7.0094493129856e-20,0.895771814486022,7.82503892133233e-20,TRUE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
"WGCNA_midnightblue",0.0452353970925632,0.122391049557993,251.999999996546,-0.195804273227616,0.286275067412743,0.711992983169109,263,48,1.37570039961816e-15,0.942028315745251,1.46035992403246e-15,TRUE,"score_z ~ diagnosis + brain_region + age_z + sex + RIN_z + PMI_z + (1 | donor_id)",0.911073736970306
