"module","interaction_term","beta","SE","df","CI_low","CI_high","P","sample_n","donor_n","formula","BH_FDR"
"hepatic_inflammatory_module","diagnosisMDD:sexfemale",0.383960023166705,0.435821269894728,40.7750598359314,-0.496346368659697,1.26426641499311,0.383479647168577,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.920351153204584
"hepatic_complement_coagulation_module","diagnosisMDD:sexfemale",0.290419107452438,0.428831384333109,39.480716386751,-0.576636690989621,1.1574749058945,0.502206942336989,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.990184449534189
"hepatic_lipid_dysregulation_module","diagnosisMDD:sexfemale",0.540444995912778,0.358866884051778,40.2476342381944,-0.18471304643026,1.26560303825582,0.139882136313863,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.800476889878399
"hepatic_ECM_fibrosis_module","diagnosisMDD:sexfemale",0.090433167849953,0.323184981225392,39.5752949490278,-0.562966467941625,0.743832803641531,0.781074055707544,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.995052430351809
"hepatic_mitochondrial_dysfunction_module","diagnosisMDD:sexfemale",0.377266213195687,0.381034068352662,40.4043610564916,-0.392592360275572,1.14712478666695,0.328012244590877,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.874699318909006
"hepatic_acute_phase_response_module","diagnosisMDD:sexfemale",0.540474241683705,0.42490530358346,39.9782543576555,-0.318305961613469,1.39925444498088,0.210727071936367,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.800476889878399
"hepatic_endothelial_vascular_activation_module","diagnosisMDD:sexfemale",0.20504101357808,0.42475370216192,39.8738684021583,-0.653502838687032,1.06358486584319,0.631927821141894,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.995052430351809
"hepatic_secretome_hepatokine_module","diagnosisMDD:sexfemale",0.116854276504924,0.294527914889557,36.9718634007844,-0.479931295199272,0.71363984820912,0.693831962762329,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.995052430351809
"WGCNA_turquoise","diagnosisMDD:sexfemale",0.594923255667454,0.284913678316574,37.9555415369487,0.0181234809113252,1.17172303042358,0.0435529759166802,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.800476889878399
"WGCNA_red","diagnosisMDD:sexfemale",0.297537806545109,0.477109244321975,40.7336701466693,-0.666195220899395,1.26127083398961,0.536349910164353,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.990184449534189
"WGCNA_brown","diagnosisMDD:sexfemale",0.349986231242832,0.310888787869966,40.925435835217,-0.277901154858195,0.977873617343859,0.266825629959466,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.800476889878399
"WGCNA_yellow","diagnosisMDD:sexfemale",-0.284421227016745,0.229808828538173,39.9807502438896,-0.74888916100131,0.180046706967821,0.223067900202364,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.800476889878399
"WGCNA_blue","diagnosisMDD:sexfemale",-0.441520570740881,0.239602427331043,40.0221806064502,-0.925766780154324,0.0427256386725623,0.0727857479800205,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.800476889878399
"WGCNA_pink","diagnosisMDD:sexfemale",0.0533140676943101,0.263557910600234,40.7125640597653,-0.479066077966006,0.585694213354626,0.840700641818061,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.995052430351809
"WGCNA_black","diagnosisMDD:sexfemale",0.334724651936937,0.27745511822546,37.5952361813713,-0.227152526391914,0.896601830265788,0.235196432456659,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.800476889878399
"WGCNA_green","diagnosisMDD:sexfemale",0.0705776988665669,0.403134627887361,40.2654394276826,-0.744020496980983,0.885175894714117,0.861900243353059,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.995052430351809
"WGCNA_purple","diagnosisMDD:sexfemale",0.011365238347812,0.223191392692481,40.7592414390204,-0.439459794800013,0.462190271495637,0.959636817584629,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.995052430351809
"WGCNA_magenta","diagnosisMDD:sexfemale",-0.36640177219587,0.262594204698421,43.1614883939805,-0.895916162866789,0.163112618475048,0.170058987732177,263,48,"score_z ~ diagnosis * sex + brain_region + age_z + RIN_z + PMI_z + (1 | donor_id)",0.800476889878399
