"module","naive_beta","naive_SE","naive_df","naive_CI_low","naive_CI_high","naive_P","donoraware_beta","donoraware_SE","donoraware_df","donoraware_CI_low","donoraware_CI_high","donoraware_P","cluster_robust_beta","cluster_robust_SE","cluster_robust_df","cluster_robust_P","sample_n","donor_n","random_intercept_variance","residual_variance","singular_fit","naive_formula","donoraware_formula","cluster_robust_formula","mapping","cluster_robust_CI_low","cluster_robust_CI_high","naive_BH_FDR","donoraware_BH_FDR","cluster_robust_BH_FDR","beta_difference_donoraware_minus_naive","SE_ratio_donoraware_over_naive","significance_transition"
"hepatic_inflammatory_module",0.147431645181334,0.127453166393374,Inf,-0.102371970665269,0.397235261027937,0.248495936197323,0.122631410360638,0.185303784542882,84.000463019131,-0.245865457231953,0.49112827795323,0.509919910513168,0.147431645181334,0.186107050128812,47.4336807439696,0.432195619944754,253,84,0.396226275818168,0.282551977054682,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.226877108281521,0.521740398644189,0.45876172836429,0.719886932489178,0.694837922591629,-0.0248002348206953,1.45389706498902,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_complement_coagulation_module",-0.0171586158176686,0.130505093882709,Inf,-0.272943899626797,0.23862666799146,0.895504246790352,-0.0154607742986253,0.181377765294497,82.8869280793124,-0.376221132678832,0.345299584081581,0.932275565611004,-0.0171586158176686,0.169208409468476,47.4336807439696,0.919656238251415,253,84,0.332332988825258,0.389741402073777,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.357479892092479,0.323162660457142,0.934439214042106,0.957468445693146,0.960782375081732,0.00169784151904326,1.38981368388202,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_lipid_dysregulation_module",-0.263950466434177,0.144847949405109,Inf,-0.547847230502671,0.0199462976343168,0.0696298041583921,-0.34778414165745,0.198732195938848,85.0183837201139,-0.742915755594608,0.047347472279707,0.08372382115432,-0.263950466434177,0.216808564091999,47.4336807439696,0.229460620942604,253,84,0.392889164883478,0.483628892514752,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.700007796391199,0.172106863522845,0.251102308731236,0.367011487275547,0.688381862827813,-0.0838336752232735,1.3720055876182,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_ECM_fibrosis_module",0.113867689185368,0.131079242058537,Inf,-0.143042904370173,0.370778282740908,0.385861490294674,0.0925254444316413,0.176043828186959,78.5232169763136,-0.257914115272091,0.442965004135373,0.60065985415456,0.113867689185368,0.164497447960056,47.4336807439696,0.492176861835737,253,84,0.280045221626435,0.453885670408445,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.216978641736176,0.444714020106911,0.544745633357186,0.77133064313546,0.694837922591629,-0.0213422447537262,1.34303361403587,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_mitochondrial_dysfunction_module",-0.425059348049424,0.136326818601664,Inf,-0.692255002635611,-0.157863693463237,0.00203787947804908,-0.487757498961012,0.201187366044611,79.8141743028381,-0.888147427636757,-0.0873675702852677,0.0175940039391279,-0.425059348049424,0.190394263443474,47.4336807439696,0.0303381217138694,253,84,0.458381812384708,0.354448306829159,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.807990781150313,-0.0421279149485349,0.0163030358243926,0.105564023634767,0.242704973710955,-0.0626981509115884,1.47577247168413,"FDR<0.05 to not_FDR<0.05"
"hepatic_acute_phase_response_module",0.0709214669940825,0.129308112584773,Inf,-0.182517776580923,0.324360710569088,0.583867436857248,0.0322265411510222,0.182597611321713,83.8805538213121,-0.330896388760547,0.395349471062592,0.860334908171781,0.0709214669940825,0.181035007914346,47.4336807439696,0.696993392865169,253,84,0.355327466089639,0.347677991633727,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.293186115704453,0.435029049692618,0.737516762345998,0.938547172551034,0.836392071438203,-0.0386949258430603,1.41211257106551,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_endothelial_vascular_activation_module",-0.0191920595143022,0.137765712316856,Inf,-0.289207893959846,0.250823774931242,0.889319639063378,-0.0445849541061255,0.199326679402879,82.2395909764652,-0.441091921581298,0.351922013369047,0.823562726719654,-0.0191920595143022,0.191881685666485,47.4336807439696,0.920749776119993,253,84,0.441027043228913,0.370056650067099,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.405115078145041,0.366730959116437,0.934439214042106,0.938547172551034,0.960782375081732,-0.0253928945918233,1.4468526025143,"not_FDR<0.05 to not_FDR<0.05"
"hepatic_secretome_hepatokine_module",0.115308481886002,0.121964686949064,Inf,-0.123737911919865,0.354354875691869,0.345369544342384,0.11217285397541,0.163053978318104,79.8395225163167,-0.212324916861106,0.436670624811925,0.493478684461714,0.115308481886002,0.151866708249046,47.4336807439696,0.451445437176069,253,84,0.237186821500899,0.397547254519211,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.190134209392286,0.42075117316429,0.518054316513576,0.719886932489178,0.694837922591629,-0.00313562791059203,1.33689498490822,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_turquoise",0.0999216142522707,0.143198113099757,Inf,-0.180741530077346,0.380584758581888,0.48597014211665,0.158370542389247,0.207513997997909,77.2147504653278,-0.254824278781445,0.571565363559939,0.447681503209886,0.0999216142522707,0.193240957248347,47.4336807439696,0.607501108002421,253,84,0.458116694852109,0.45106201937295,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.288735246277913,0.488578474782454,0.647960189488866,0.716290405135817,0.810001477336561,0.0584489281369764,1.44913919259081,"not_FDR<0.05 to not_FDR<0.05"
"WGCNA_red",0.124227664666278,0.121611647633172,Inf,-0.114126784795314,0.362582114127871,0.308015797733895,0.0892542895642865,0.174634319583917,83.3951085229357,-0.258062012954973,0.436570592083546,0.610636759148906,0.124227664666278,0.172424069709861,47.4336807439696,0.474766801421703,253,84,0.335543800306491,0.291501484828615,FALSE,"score_z ~ diagnosis + region + age_z + sex","score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","same fixed-effects OLS with donor-clustered CR2 SE","strict one-to-one official symbol; highest-IQR probe",-0.222561124664485,0.471016453997041,0.492825276374232,0.77133064313546,0.694837922591629,-0.0349733751019918,1.43599994723106,"not_FDR<0.05 to not_FDR<0.05"
