"module","test_dataset","reference_dataset","common_gene_n","reference_original_gene_n","coverage_fraction","Zsummary","medianRank","common_gene_adequacy","preservation_class","network_type","reference_gene_filter","permutations","seed"
"WGCNA_green","GSE126848","GSE135251",873,1041,0.838616714697406,33.6402108707988,2,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_purple","GSE126848","GSE135251",97,114,0.850877192982456,13.3014663121742,2,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_red","GSE126848","GSE135251",908,1040,0.873076923076923,36.6856866226524,3,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_yellow","GSE126848","GSE135251",1190,1245,0.955823293172691,30.247956508779,5,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_blue","GSE126848","GSE135251",2946,3342,0.881508078994614,41.5956041174182,6,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_greenyellow","GSE126848","GSE135251",63,68,0.926470588235294,7.49985514380996,6,"adequate for interpretation","moderate","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_pink","GSE126848","GSE135251",726,825,0.88,18.5606214021992,7,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_tan","GSE126848","GSE135251",5,48,0.104166666666667,-0.0223702562480707,8,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_brown","GSE126848","GSE135251",1579,1832,0.861899563318777,18.2978298327407,10,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_black","GSE126848","GSE135251",700,1012,0.691699604743083,10.9323035405815,11,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_turquoise","GSE126848","GSE135251",5597,5967,0.937992290933467,24.6537655662071,11,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_lightcyan","GSE126848","GSE135251",9,35,0.257142857142857,-0.23747298837806,13,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_magenta","GSE126848","GSE135251",42,151,0.278145695364238,0.412881871305668,13,"adequate for interpretation","no clear evidence","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_cyan","GSE126848","GSE135251",6,43,0.13953488372093,-0.455190756527406,14,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_salmon","GSE126848","GSE135251",8,45,0.177777777777778,-0.771374273533484,15,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_midnightblue","GSE126848","GSE135251",2,40,0.05,-0.604110353518372,17,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_green","GSE167523","GSE135251",845,1041,0.811719500480307,76.1228091478897,1,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_red","GSE167523","GSE135251",886,1040,0.851923076923077,32.453773849184,2,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_pink","GSE167523","GSE135251",731,825,0.886060606060606,27.0798450250964,3,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_brown","GSE167523","GSE135251",1546,1832,0.843886462882096,14.4235564325778,6,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_turquoise","GSE167523","GSE135251",5392,5967,0.903636668342551,30.4032625667891,6,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_blue","GSE167523","GSE135251",2878,3342,0.861160981448235,21.995612821911,7,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_black","GSE167523","GSE135251",759,1012,0.75,14.9645270144361,8,"adequate for interpretation","strong","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_yellow","GSE167523","GSE135251",1142,1245,0.917269076305221,8.2786835563165,9,"adequate for interpretation","moderate","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_purple","GSE167523","GSE135251",91,114,0.798245614035088,2.2316853424849,10,"adequate for interpretation","moderate","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_greenyellow","GSE167523","GSE135251",59,68,0.867647058823529,0.660590277171305,12,"adequate for interpretation","no clear evidence","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_lightcyan","GSE167523","GSE135251",13,35,0.371428571428571,-0.252965191173257,13,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_tan","GSE167523","GSE135251",13,48,0.270833333333333,-0.3013621209152,13,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_cyan","GSE167523","GSE135251",12,43,0.27906976744186,-0.095819538028961,14,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_salmon","GSE167523","GSE135251",17,45,0.377777777777778,-0.481630157121648,15,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_magenta","GSE167523","GSE135251",63,151,0.417218543046358,-0.829347226539914,16,"adequate for interpretation","no clear evidence","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
"WGCNA_midnightblue","GSE167523","GSE135251",8,40,0.2,-0.561559947034383,16,"too few; descriptive only","low common-gene count","unsigned","variance > 10th percentile of positive variance (0.01840808)",500,20260802
