"module","original_size","common_universe_size","coverage_fraction","beta_GSE48350","SE_GSE48350","P_GSE48350","beta_GSE33000","SE_GSE33000","P_GSE33000","mean_abs_beta","empirical_P_mean_abs_beta","abs_beta_GSE48350","empirical_P_abs_beta_GSE48350","abs_beta_GSE33000","empirical_P_abs_beta_GSE33000","direction_consistent","empirical_P_direction_consistency","cross_dataset_difference","empirical_P_cross_dataset_difference","REML_effect","REML_SE","REML_P","empirical_P_abs_REML","dual_nominal_same_direction","empirical_P_dual_nominal_same_direction","model_GSE48350","model_GSE33000","B","seed","empirical_BH_FDR_mean_abs_beta","empirical_BH_FDR_abs_beta_GSE48350","empirical_BH_FDR_abs_beta_GSE33000","empirical_BH_FDR_direction_consistency","empirical_BH_FDR_cross_dataset_difference","empirical_BH_FDR_abs_REML","empirical_BH_FDR_dual_nominal_same_direction"
"hepatic_inflammatory_module",446,443,0.993273542600897,0.141251165242468,0.185060772367598,0.445302938913001,0.980975024571713,0.098628717106101,2.97281758026354e-21,0.561113094907091,0.223888055972014,0.141251165242468,0.591204397801099,0.980975024571713,0.139930034982509,TRUE,0.723138430784608,0.839723859329245,0.829085457271364,0.575713052594897,0.419608009000323,0.170055377838108,0.212893553223388,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.583344691290718,0.956912847923864,0.404197901049475,1,0.982008995502249,0.474762618690655,1
"hepatic_complement_coagulation_module",76,73,0.960526315789474,-0.00515825443039178,0.181114260803239,0.977278789565457,0.93920031924869,0.0936361484048389,1.4784631723086e-21,0.472179286839541,0.211894052973513,0.00515825443039178,0.976011994002999,0.93920031924869,0.0814592703648176,FALSE,1,0.944358573679082,0.938030984507746,0.479746414402863,0.472007779145017,0.309441257378038,0.188405797101449,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.583344691290718,0.976011994002999,0.391004497751124,1,0.982008995502249,0.474762618690655,1
"hepatic_lipid_dysregulation_module",339,331,0.976401179941003,-0.277738810697694,0.197014013858633,0.158616056990886,0.134664508383887,0.125424935537912,0.283531578394547,0.206201659540791,0.847076461769115,0.277738810697694,0.0704647676161919,0.134664508383887,0.933533233383308,FALSE,1,0.412403319081581,0.223388305847076,-0.0435510679539283,0.204293669858692,0.831187547013796,0.956521739130435,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.968087384878989,0.338230884557721,1,1,0.982008995502249,1,1
"hepatic_ECM_fibrosis_module",345,343,0.994202898550725,0.119149766452757,0.176048936857182,0.498533413283795,0.998640444045748,0.0958883695930113,5.81976354042509e-23,0.558895105249252,0.255372313843078,0.119149766452757,0.598200899550225,0.998640444045748,0.168415792103948,TRUE,0.71664167916042,0.879490677592991,0.825587206396802,0.571287873757611,0.439570679506656,0.193721079181317,0.237381309345327,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.583344691290718,0.956912847923864,0.404197901049475,1,0.982008995502249,0.474762618690655,1
"hepatic_mitochondrial_dysfunction_module",252,249,0.988095238095238,-0.469256036145038,0.197667142290884,0.0175979391677153,-1.11776530943761,0.0944602848620879,2.07716575278896e-28,0.793510672791325,0.000999500249875062,0.469256036145038,0.0204897551224388,1.11776530943761,0.000499750124937531,TRUE,0.44727636181909,0.648509273292574,0.816091954022989,-0.816755948508158,0.323420355796391,0.011557665089921,0.000999500249875062,TRUE,0.0209895052473763,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.0119940029985007,0.122938530734633,0.00599700149925037,1,0.982008995502249,0.0119940029985007,0.359820089955022
"hepatic_acute_phase_response_module",270,259,0.959259259259259,0.0614184780039399,0.181043164375474,0.734423134451263,0.924403701831534,0.0975518553104354,1.37178278341137e-19,0.492911089917737,0.267366316841579,0.0614184780039399,0.729635182408796,0.924403701831534,0.152423788105947,TRUE,0.55872063968016,0.862985223827594,0.784607696151924,0.506387718630689,0.431282105604585,0.240336960148909,0.190904547726137,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.583344691290718,0.956912847923864,0.404197901049475,1,0.982008995502249,0.474762618690655,1
"hepatic_endothelial_vascular_activation_module",82,81,0.98780487804878,-0.0332172146377342,0.199244225493341,0.867593458918152,0.96335004693745,0.0960734445339399,1.51699524557453e-21,0.498283630787592,0.355322338830585,0.0332172146377342,0.893553223388306,0.96335004693745,0.15992003998001,FALSE,1,0.996567261575184,0.937531234382809,0.480352968208405,0.498049091994983,0.334810784318089,0.384307846076962,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.660592780532811,0.956912847923864,0.404197901049475,1,0.982008995502249,0.658813450417648,1
"hepatic_secretome_hepatokine_module",97,91,0.938144329896907,0.133277561683563,0.164048649401726,0.416546625118095,0.905946660748801,0.0984071410709735,1.17194122872566e-18,0.519612111216182,0.168415792103948,0.133277561683563,0.501749125437281,0.905946660748801,0.128435782108946,TRUE,0.682658670664668,0.772669099065238,0.810594702648676,0.530760476006239,0.386173663168631,0.169314809713679,0.15792103948026,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.583344691290718,0.956912847923864,0.404197901049475,1,0.982008995502249,0.474762618690655,1
"WGCNA_turquoise",5967,5477,0.917881682587565,0.254660043815951,0.205204781034485,0.214604109676566,-0.194980297934781,0.128212929110608,0.129004237499111,0.224820170875366,0.997501249375312,0.254660043815951,0.00349825087456272,0.194980297934781,1,FALSE,1,0.449640341750732,0.00399800099950025,0.00129433933884186,0.22300058686878,0.995368946822709,1,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.997501249375312,0.0419790104947526,1,1,0.095952023988006,1,1
"WGCNA_red",1040,877,0.843269230769231,0.104542031056416,0.172920702403536,0.545467197139728,0.877880028993315,0.0982871606775183,9.93561204814677e-18,0.491211030024866,0.438280859570215,0.104542031056416,0.692653673163418,0.877880028993315,0.27536231884058,TRUE,0.873563218390805,0.773337997936899,0.813093453273363,0.50429793602178,0.38644747075727,0.191906958061769,0.457771114442779,FALSE,1,"score_z ~ diagnosis + region + age_z + sex + (1 | donor_id)","score_z ~ diagnosis + age_z + sex",2000,20260802,0.701249375312344,0.956912847923864,0.446026986506747,1,0.982008995502249,0.686656671664168,1
