"dataset","tissue","module","original_size","detectable_size","coverage_fraction","effect","SE","CI_low","CI_high","P","empirical_P_abs_effect","singular_fit","B","seed","formula","empirical_BH_FDR_abs_effect"
"GSE98793_blood","blood","hepatic_inflammatory_module",446,443,0.993273542600897,0.336323282454102,0.154052153559956,0.0343810614765889,0.638265503431615,0.0201360359519784,0.0484757621189405,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.193903048475762
"GSE98793_blood","blood","hepatic_complement_coagulation_module",76,73,0.960526315789474,0.579508802518606,0.155923245442307,0.273899241451684,0.885118363585527,0.000358133599649539,0.00199900049975012,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.047976011994003
"GSE98793_blood","blood","hepatic_lipid_dysregulation_module",339,333,0.982300884955752,0.202005424807905,0.15343978012267,-0.0987365442325283,0.502747393848338,0.213942244292316,0.175912043978011,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.422188905547226
"GSE98793_blood","blood","hepatic_ECM_fibrosis_module",345,345,1,0.422445005639369,0.154603489668511,0.119422165889087,0.72546784538965,0.00673529299581945,0.0184907546226887,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.110944527736132
"GSE98793_blood","blood","hepatic_mitochondrial_dysfunction_module",252,249,0.988095238095238,-0.0930724192512878,0.153166767052231,-0.393279282673661,0.207134444171086,0.546190846767299,0.455772113943028,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.729235382308846
"GSE98793_blood","blood","hepatic_acute_phase_response_module",270,259,0.959259259259259,0.413636535428677,0.154541451958837,0.110735289589357,0.716537781267997,0.00402995598795467,0.0139930034982509,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.110944527736132
"GSE98793_blood","blood","hepatic_endothelial_vascular_activation_module",82,81,0.98780487804878,0.428520271269391,0.154647024358503,0.125412103526724,0.731628439012058,0.0050741245968447,0.0124937531234383,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.110944527736132
"GSE98793_blood","blood","hepatic_secretome_hepatokine_module",97,91,0.938144329896907,0.378456259051285,0.154306489014956,0.0760155405819721,0.680896977520598,0.0175766370868863,0.0379810094952524,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.182308845577211
"GSE98793_blood","blood","WGCNA_turquoise",5967,5652,0.947209653092006,-0.0944955587217659,0.153169036275237,-0.394706869821229,0.205715752377698,0.554616548089689,0.84007996001999,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.879212567629229
"GSE98793_blood","blood","WGCNA_red",1040,921,0.885576923076923,0.187377917941295,0.153391438980235,-0.113269302459966,0.488025138342555,0.211517001906493,0.28335832083958,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.543156992932105
"GSE98793_blood","blood","WGCNA_brown",1832,1573,0.858624454148472,-0.0626983200658822,0.153126539782557,-0.362826338039693,0.237429697907929,0.67438221125488,0.971514242878561,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.971514242878561
"GSE98793_blood","blood","WGCNA_yellow",1245,1192,0.957429718875502,0.120664291416847,0.153216893100305,-0.17964081905975,0.420969401893445,0.450013216397663,0.842578710644678,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.879212567629229
"GSE98793_blood","blood","WGCNA_blue",3342,2997,0.896768402154399,0.0908419179974504,0.15316327968858,-0.209358110192166,0.391041946187067,0.571985585284652,0.294852573713143,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.543156992932105
"GSE98793_blood","blood","WGCNA_pink",825,751,0.91030303030303,0.164017552685308,0.153321742295043,-0.136493062212977,0.464528167583593,0.300279605799919,0.487256371814093,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.730884557721139
"GSE98793_blood","blood","WGCNA_black",1012,800,0.790513833992095,-0.273212038974626,0.153726665050348,-0.574516302473307,0.0280922245240551,0.0887980298613039,0.104447776111944,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.313343328335832
"GSE98793_blood","blood","WGCNA_green",1041,921,0.884726224783862,-0.105192421404174,0.153187193539073,-0.405439320740756,0.195054477932408,0.497561946223891,0.816591704147926,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.879212567629229
"GSE98793_blood","blood","WGCNA_purple",114,98,0.859649122807018,0.151218755468571,0.153287474279041,-0.149224694118349,0.45166220505549,0.319967178877811,0.316841579210395,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.543156992932105
"GSE98793_blood","blood","WGCNA_magenta",151,68,0.450331125827815,0.15061934409804,0.153285937422522,-0.149821093250104,0.451059781446183,0.324856262201799,0.170414792603698,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.422188905547226
"GSE98793_blood","blood","WGCNA_greenyellow",68,61,0.897058823529412,0.0949526510750023,0.153169772416595,-0.205260102861524,0.395165405011528,0.531680089177087,0.679660169915043,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.840179910044977
"GSE98793_blood","blood","WGCNA_salmon",45,14,0.311111111111111,0.0737444738185977,0.153139355172513,-0.226408662319528,0.373897609956723,0.624308308592106,0.596201899050475,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.794935865400633
"GSE98793_blood","blood","WGCNA_cyan",43,12,0.27906976744186,0.0800570220417727,0.153147609953007,-0.22011229346612,0.380226337549666,0.60192176338966,0.571214392803598,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.794935865400633
"GSE98793_blood","blood","WGCNA_tan",48,15,0.3125,-0.0540639073823146,0.153117966726923,-0.354175122167084,0.246047307402454,0.705614558800555,0.700149925037481,,2000,20260802,"Welch two-sample t-test; Cohen d = MDD minus Control",0.840179910044977
