"dataset_id","mapping_method","module","original_module_size","covered_gene_n"
"MDD_GSE98793","legacy_first_symbol_max_mean","hepatic_inflammatory_module",446,445
"MDD_GSE98793","legacy_first_symbol_max_mean","hepatic_complement_coagulation_module",76,75
"MDD_GSE98793","legacy_first_symbol_max_mean","hepatic_lipid_dysregulation_module",339,336
"MDD_GSE98793","legacy_first_symbol_max_mean","hepatic_ECM_fibrosis_module",345,345
"MDD_GSE98793","legacy_first_symbol_max_mean","hepatic_mitochondrial_dysfunction_module",252,251
"MDD_GSE98793","legacy_first_symbol_max_mean","hepatic_acute_phase_response_module",270,265
"MDD_GSE98793","legacy_first_symbol_max_mean","hepatic_endothelial_vascular_activation_module",82,82
"MDD_GSE98793","legacy_first_symbol_max_mean","hepatic_secretome_hepatokine_module",97,96
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_turquoise",5967,5648
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_red",1040,933
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_brown",1832,1600
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_yellow",1245,1194
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_blue",3342,3029
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_pink",825,756
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_black",1012,802
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_green",1041,921
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_purple",114,98
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_magenta",151,70
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_greenyellow",68,62
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_salmon",45,14
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_cyan",43,14
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_tan",48,13
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_lightcyan",35,9
"MDD_GSE98793","legacy_first_symbol_max_mean","WGCNA_midnightblue",40,8
"MDD_GSE98793","strict_max_iqr","hepatic_inflammatory_module",446,443
"MDD_GSE98793","strict_max_iqr","hepatic_complement_coagulation_module",76,73
"MDD_GSE98793","strict_max_iqr","hepatic_lipid_dysregulation_module",339,333
"MDD_GSE98793","strict_max_iqr","hepatic_ECM_fibrosis_module",345,345
"MDD_GSE98793","strict_max_iqr","hepatic_mitochondrial_dysfunction_module",252,249
"MDD_GSE98793","strict_max_iqr","hepatic_acute_phase_response_module",270,259
"MDD_GSE98793","strict_max_iqr","hepatic_endothelial_vascular_activation_module",82,81
"MDD_GSE98793","strict_max_iqr","hepatic_secretome_hepatokine_module",97,91
"MDD_GSE98793","strict_max_iqr","WGCNA_turquoise",5967,5652
"MDD_GSE98793","strict_max_iqr","WGCNA_red",1040,921
"MDD_GSE98793","strict_max_iqr","WGCNA_brown",1832,1573
"MDD_GSE98793","strict_max_iqr","WGCNA_yellow",1245,1192
"MDD_GSE98793","strict_max_iqr","WGCNA_blue",3342,2997
"MDD_GSE98793","strict_max_iqr","WGCNA_pink",825,751
"MDD_GSE98793","strict_max_iqr","WGCNA_black",1012,800
"MDD_GSE98793","strict_max_iqr","WGCNA_green",1041,921
"MDD_GSE98793","strict_max_iqr","WGCNA_purple",114,98
