"module","original_gene_n","HPA_gene_n","HPA_coverage_fraction","liver_enriched_n","liver_enriched_fraction","liver_enhanced_n","liver_enhanced_fraction","tissue_enriched_any_n","tissue_enriched_any_fraction","median_liver_nTPM","median_liver_vs_nonliver_log2_ratio","P_liver_enriched","P_liver_enhanced","P_tissue_enriched_any","specificity_definition","enrichment_definition","background_universe","BH_FDR_liver_enriched","BH_FDR_liver_enhanced","BH_FDR_tissue_enriched_any"
"hepatic_inflammatory_module",446,446,1,12,0.0269058295964126,40,0.0896860986547085,35,0.07847533632287,15.65,0.567372279940915,0.0162881243601546,0.00383082149175386,0.999448856676139,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",0.0651524974406182,0.00835815598200841,1
"hepatic_complement_coagulation_module",76,76,1,37,0.486842105263158,50,0.657894736842105,37,0.486842105263158,261.4,5.99097101841139,1.08964440509111e-49,1.45977930497174e-43,1.43850755823189e-14,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1.30757328610934e-48,1.75173516596609e-42,1.72620906987827e-13
"hepatic_lipid_dysregulation_module",339,337,0.994100294985251,30,0.0890207715133531,142,0.421364985163205,41,0.121661721068249,67.6,1.85409593387428,1.70364821209309e-16,1.64021136067107e-86,0.601399262358212,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1.02218892725586e-15,3.93650726561056e-85,1
"hepatic_ECM_fibrosis_module",345,345,1,1,0.00289855072463768,16,0.0463768115942029,24,0.0695652173913043,13.3,-0.137503523749935,0.990359606356627,0.847826248270404,0.999737398943064,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,1
"hepatic_mitochondrial_dysfunction_module",252,252,1,2,0.00793650793650794,35,0.138888888888889,4,0.0158730158730159,115.7,0.942889023105423,0.849654533400884,1.27708410240597e-06,0.999999999983563,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,3.8312523072179e-06,1
"hepatic_acute_phase_response_module",270,270,1,61,0.225925925925926,83,0.307407407407407,72,0.266666666666667,38.5,0.89454583799361,5.68164899839929e-58,3.51673842531377e-38,2.0677296836814e-10,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1.36359575961583e-56,2.11004305518826e-37,1.65418374694512e-09
"hepatic_endothelial_vascular_activation_module",82,82,1,2,0.024390243902439,10,0.121951219512195,7,0.0853658536585366,11.9,0.400884543930836,0.296285444317887,0.0192652620145449,0.901399785733351,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",0.646440969420844,0.0385305240290897,1
"hepatic_secretome_hepatokine_module",97,97,1,36,0.371134020618557,54,0.556701030927835,43,0.443298969072165,79.4,3.47940303954247,5.6097135491895e-43,2.37418731000438e-41,7.54561854759141e-15,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",4.4877708393516e-42,1.8993498480035e-40,1.72620906987827e-13
"WGCNA_turquoise",5967,5560,0.931791520026814,83,0.0149280575539568,405,0.072841726618705,266,0.047841726618705,11.6,0.238159737194765,0.112608691132388,1.42183067338329e-08,1,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",0.27026085871773,5.68732269353314e-08,1
"WGCNA_red",1040,985,0.947115384615385,1,0.00101522842639594,14,0.0142131979695431,69,0.0700507614213198,4.4,-0.0565835283663676,0.999998590643158,0.99999999999959,0.999999996761596,"log2((liver nTPM + 1)/(median non-liver tissue nTPM + 1))",">=4-fold versus every other tissue; enhanced >=4-fold versus non-liver mean","20151 HPA consensus genes",1,1,1
